"BIS Statistics Explorer"
"Table C1","Summary of debt securities outstanding"
"Dataset","Debt securities statistics (DEBT_SEC2)"
"Data updated",01/02/2023 04:32
"Data URL","http://stats.bis.org:8089/statx/srs/table/c1?f=csv"
"Frequency","Issuer residence","Issuer nationality","Issuer sector - immediate borrower","Issuer sector - ultimate borrower","Issue market","Issue type","Issue currency group","Issue currency","Original maturity","Remaining maturity","Rate type","Default risk (for future expansion)","Collateral type (for future expansion)","Measure","Period",31/12/1946,31/03/1947,30/06/1947,30/09/1947,31/12/1947,31/03/1948,30/06/1948,30/09/1948,31/12/1948,31/03/1949,30/06/1949,30/09/1949,31/12/1949,31/03/1950,30/06/1950,30/09/1950,31/12/1950,31/03/1951,30/06/1951,30/09/1951,31/12/1951,31/03/1952,30/06/1952,30/09/1952,31/12/1952,31/03/1953,30/06/1953,30/09/1953,31/12/1953,31/03/1954,30/06/1954,30/09/1954,31/12/1954,31/03/1955,30/06/1955,30/09/1955,31/12/1955,31/03/1956,30/06/1956,30/09/1956,31/12/1956,31/03/1957,30/06/1957,30/09/1957,31/12/1957,31/03/1958,30/06/1958,30/09/1958,31/12/1958,31/03/1959,30/06/1959,30/09/1959,31/12/1959,31/03/1960,30/06/1960,30/09/1960,31/12/1960,31/03/1961,30/06/1961,30/09/1961,31/12/1961,31/03/1962,30/06/1962,30/09/1962,31/12/1962,31/03/1963,30/06/1963,30/09/1963,31/12/1963,31/03/1964,30/06/1964,30/09/1964,31/12/1964,31/03/1965,30/06/1965,30/09/1965,31/12/1965,31/03/1966,30/06/1966,30/09/1966,31/12/1966,31/03/1967,30/06/1967,30/09/1967,31/12/1967,31/03/1968,30/06/1968,30/09/1968,31/12/1968,31/03/1969,30/06/1969,30/09/1969,31/12/1969,31/03/1970,30/06/1970,30/09/1970,31/12/1970,31/03/1971,30/06/1971,30/09/1971,31/12/1971,31/03/1972,30/06/1972,30/09/1972,31/12/1972,31/03/1973,30/06/1973,30/09/1973,31/12/1973,31/03/1974,30/06/1974,30/09/1974,31/12/1974,31/03/1975,30/06/1975,30/09/1975,31/12/1975,31/03/1976,30/06/1976,30/09/1976,31/12/1976,31/03/1977,30/06/1977,30/09/1977,31/12/1977,31/03/1978,30/06/1978,30/09/1978,31/12/1978,31/03/1979,30/06/1979,30/09/1979,31/12/1979,31/03/1980,30/06/1980,30/09/1980,31/12/1980,31/03/1981,30/06/1981,30/09/1981,31/12/1981,31/03/1982,30/06/1982,30/09/1982,31/12/1982,31/03/1983,30/06/1983,30/09/1983,31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015,31/12/2015,31/03/2016,30/06/2016,30/09/2016,31/12/2016,31/03/2017,30/06/2017,30/09/2017,31/12/2017,31/03/2018,30/06/2018,30/09/2018,31/12/2018,31/03/2019,30/06/2019,30/09/2019,31/12/2019,31/03/2020,30/06/2020,30/09/2020,31/12/2020,31/03/2021,30/06/2021,30/09/2021,31/12/2021,31/03/2022,30/06/2022,30/09/2022,31/12/2022
"Q:Quarterly","TR:Turkey","3P:All countries excluding residents","J:Non-financial corporations","1:All issuers","C:International markets","A:All issue types","A:All currencies","TO1:Total all currencies","A:Total (all maturities)","A:Total (all maturities)","A:All interest rates","A:All credit ratings","A:All issues","I:Amounts outstanding",Q:TR:3P:J:1:C:A:A:TO1:A:A:A:A:A:I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24,24,24,24,24,25,25,25,26,26,25,25,25,26,25,26,26,26,26,25,25,25,24,24,24,24,24,24,24,24,24,24,23,23,23,23,24,24,24,...,...,...,...,...,...,...,...,...,...,...,...,15,16,18,18,18,19,20,17,17,18,20,18,52,57,50,50,30,31,29,30,31,32,32,36,36,35,35,34,...,...,...,...,...,...,...,...,...,...,...,...,...,...,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,...,...,...,...,253,329,333,338,354,368,395,394,358,348,333,353,366,360,337,307,341,534,555,761,468,400,400,400,400,1600,1600,3650,4100,4600,4600,5600,6040,6525,6805,6820,6820,7145,8043,8031,8030,8303,8311,8359,8883,9592,9610,9061,9046,8542,10441,9950,9919,10541,10445,8958,8541,9217,9182,11964,12368,12339,12814,12735,12664,12266
"Q:Quarterly","IS:Iceland","3P:All countries excluding residents","1:All issuers","1:All issuers","A:Domestic market","A:All issue types","A:All currencies","TO1:Total all currencies","A:Total (all maturities)","A:Total (all maturities)","A:All interest rates","A:All credit ratings","A:All issues","I:Amounts outstanding",Q:IS:3P:1:1:A:A:A:TO1:A:A:A:A:A:I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372,417,437,576,574,560,631,708,685,722,800,897,1051,1183,1409,1460,1479,1547,1875,2021,2195,2414,2720,2217,2452,2300,2589,2481,2636,2813,3073,3062,3443,3572,3742,3676,3932,4009,4129,4227,4190,4438,4620,4503,4728,4937,5393,5398,5300,5332,5764,5781,5674,5581,5196,5246,4693,4355,4720,4921,5432,6508,6694,7356,8276,8460,9144,10187,10310,10762,11326,13996,14290,14151,15881,16328,14847,15028,16878,18062,19526,22325,23712,25445,19343,21907,17850,12421,12367,11546,12063,12258,11416,13540,15793,15611,16231,16365,15737,16683,16366,16642,16767,16237,17287,17324,17663,18727,18879,18777,17744,17427,16202,16955,18084,17794,19042,19061,20850,21004,20916,23332,22738,22670,24428,22506,21770,21087,20267,20373,20720,20592,19296,21057,21531,23889,24341,25422,24096,24767,25789,24958,23023
"Q:Quarterly","UY:Uruguay","3P:All countries excluding residents","J:Non-financial corporations","1:All issuers","C:International markets","A:All issue types","A:All currencies","TO1:Total all currencies","A:Total (all maturities)","A:Total (all maturities)","A:All interest rates","A:All credit ratings","A:All issues","I:Amounts outstanding",Q:UY:3P:J:1:C:A:A:TO1:A:A:A:A:A:I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,40,41,42,43,44,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,82,-,5,1,1,1,1,1,1,1,1,11,11,11,10,10,10,10,10,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,9
"Q:Quarterly","LB:Lebanon","3P:All countries excluding residents","1:All issuers","1:All issuers","A:Domestic market","A:All issue types","A:All currencies","TO1:Total all currencies","A:Total (all maturities)","A:Total (all maturities)","A:All interest rates","A:All credit ratings","A:All issues","I:Amounts outstanding",Q:LB:3P:1:1:A:A:A:TO1:A:A:A:A:A:I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3354,4370,4858,5540,5626,5565,5808,5926,7417,7984,8562,9633,10968,12027,12862,12721,12821,13251,13417,13293,14215,14548,14755,15794,16659,17010,17256,17495,17887,18221,18309,18068,18602,18416,18546,18653,16858,16988,16670,17236,17785,18388,18394,17996,17337,17023,17569,18404,19149,18521,18755,19429,19830,20573,19373,19927,20649,21389,22815,24082,25712,26379,25868,27684,29674,30102,29982,29713,31898,31663,31760,33323,32687,33424,32115,33152,33248,33801,33823,35943,37302,38699,39550,39903,40880,41889,42320,42475,43176,43717,43893,45528,46665,47193,46697,48216,49009,51111,47683,48273,51484,52282,53296,54103,57691,58167,58389,59160,59328,60364,60290,61109,61659,61111,61578,61924
"Q:Quarterly","PE:Peru","3P:All countries excluding residents","1:All issuers","1:All issuers","C:International markets","A:All issue types","A:All currencies","TO1:Total all currencies","A:Total (all maturities)","A:Total (all maturities)","A:All interest rates","A:All credit ratings","A:All issues","I:Amounts outstanding",Q:PE:3P:1:1:C:A:A:TO1:A:A:A:A:A:I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,40,80,80,105,105,80,80,85,85,90,80,80,4911,5021,5021,5021,5026,5026,5026,4435,4435,4435,4435,4434,4434,4434,4434,4430,4430,4430,4430,4430,5170,5102,5102,4684,5416,5416,5379,4969,4969,5369,5369,6254,6545,6488,7235,7939,7964,8010,8220,9236,10664,10575,11347,11450,10247,10095,9994,9722,11023,11191,12376,13064,13607,14518,15532,19111,20261,20334,20334,20747,23524,24831,26539,27137,29202,31818,31815,32467,33543,34624,36300,40410,40883,41564,43443,44138,44507,43438,42637,44547,44477,47174,48302,49654,49948,49849,49728,52506,51578,56006,57880,61210,60658,62834,62356,64986,71693,71154,70455,75681,75175,74798,73318,74462
"Q:Quarterly","NG:Nigeria","3P:All countries excluding residents","2:General government","1:All issuers","C:International markets","A:All issue types","A:All currencies","TO1:Total all currencies","A:Total (all maturities)","A:Total (all maturities)","A:All interest rates","A:All credit ratings","A:All issues","I:Amounts outstanding",Q:NG:3P:2:1:C:A:A:TO1:A:A:A:A:A:I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,500,500,500,500,500,500,500,1500,2056,2056,2056,2056,2016,1944,1944,1944,1944,1944,1809,1787,1787,1786,3348,3393,7080,9186,10366,9974,13337,13597,13793,13849,13920,13940,13998,14048,13846,13298,13368,22709,22485,23816,23344,23460,23590
"Q:Quarterly","MT:Malta","3P:All countries excluding residents","B:Financial corporations","1:All issuers","C:International markets","A:All issue types","A:All currencies","TO1:Total all currencies","A:Total (all maturities)","A:Total (all maturities)","A:All interest rates","A:All credit ratings","A:All issues","I:Amounts outstanding",Q:MT:3P:B:1:C:A:A:TO1:A:A:A:A:A:I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1053,2459,1073,-,189,107,947,483,1059,547,649,675,953,525,436,1032,401,-,-,132,-,392,608,414,585,369,365,352,420,436,968,854,947,903,889,842,480,500,516,521,493,461,457,448,458,994,980,1210,1364,1360,939,951,1115,1295,1284,2168,3194,3805,3737,4174
"Q:Quarterly","RS:Serbia","3P:All countries excluding residents","1:All issuers","1:All issuers","C:International markets","A:All issue types","A:All currencies","TO1:Total all currencies","A:Total (all maturities)","A:Total (all maturities)","A:All interest rates","A:All credit ratings","A:All issues","I:Amounts outstanding",Q:RS:3P:1:1:C:A:A:TO1:A:A:A:A:A:I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018,1018,1018,1018,1018,1018,1018,1185,1187,1196,1202,1216,1216,1197,1192,1185,1195,1202,1199,1187,1138,1155,1118,1128,1097,2085,2078,1883,1883,1815,3565,5065,5065,5031,6031,5597,5597,5597,5597,5597,5597,5597,5597,5597,5597,5564,5564,5564,5564,5564,4814,4814,4500,4500,3500,3500,4638,4589,5241,3698,5975,6156,7195,10273,9516,11232,11005,9971,9352,8854,9600
"Q:Quarterly","CO:Colombia","3P:All countries excluding residents","1:All issuers","1:All issuers","A:Domestic market","A:All issue types","A:All currencies","TO1:Total all currencies","A:Total (all maturities)","A:Total (all maturities)","A:All interest rates","A:All credit ratings","A:All issues","I:Amounts outstanding",Q:CO:3P:1:1:A:A:A:TO1:A:A:A:A:A:I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51393,60581,57939,51362,50575,47410,57603,64440,61401,68273,71657,78007,75024,79747,83501,80295,80563,89659,88499,88958,90748,90315,87757,94668,94773,98344,103650,97945,84699,80570,84099,70546,66111,73724,78508,82296,79887,87754,83465,89528,89024,100040,99380,102471,93600,99965,102154,93668,98879,82286,93536,93380,108243,101090,105758,108881,106225,117412,108532,103777
"Q:Quarterly","SG:Singapore","3P:All countries excluding residents","1:All issuers","1:All issuers","C:International markets","A:All issue types","A:All currencies","TO1:Total all currencies","A:Total (all maturities)","A:Total (all maturities)","A:All interest rates","A:All credit ratings","A:All issues","I:Amounts outstanding",Q:SG:3P:1:1:C:A:A:TO1:A:A:A:A:A:I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,31,51,55,61,61,87,89,89,88,91,93,104,100,119,121,145,209,282,344,349,382,465,506,513,540,543,552,550,559,551,524,558,557,548,607,581,552,541,518,506,558,556,486,460,462,521,525,517,497,494,498,474,493,545,474,521,529,682,742,846,845,939,1035,1095,1245,1386,1443,1609,2085,1909,2016,1898,1932,2006,1971,1918,1881,1767,1671,1588,1572,1481,1391,1272,1827,1764,1839,1823,1592,1692,1684,1688,1709,1585,1590,2090,1875,2083,2232,2455,3390,3439,3462,4938,5114,5181,6040,6316,7125,7438,7296,8907,9227,9235,8981,9956,12118,15884,16222,16590,16575,16971,17305,18398,19800,23423,23780,25700,28819,33034,36082,34895,37611,39127,39550,43845,45440,46812,49231,54557,54821,55053,55918,55282,55388,52482,49178,47436,49035,50708,51138,50636,55094,55388,59610,63026,63148,64264,74345,72283,79915,84034,88381,94397,103451,105921,108947,113788,121189,114661,110999,117749,113557,110380,113046,116100,120509,116669,123748,133760,141862,144340,156260,168025,162390,166644,166772,181285,180786,181592,178600,179920,178985,186108,187086,193142,204142,205799,206577,203501,201870,211265
