"Hoofdpost","Subpost 1","Subpost 2","Sector","Subsector","&label7","Period ","waarde"
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2003Q2",-273688
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2003Q3",-276266
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2003Q4",-334174
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2004Q1",-317247
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2004Q2",-325675
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2004Q3",-303167
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2004Q4",-298294
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2005Q1",-330939
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2005Q2",-357145
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2005Q3",-411852
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2005Q4",-392421
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2006Q1",-456893
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2006Q2",-469763
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2006Q3",-499151
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2006Q4",-498544
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2007Q1",-548148
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2007Q2",-605557
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2007Q3",-537220
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2007Q4",-436373
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2008Q1",-454924
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2008Q2",-480009
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2008Q3",-432126
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2008Q4",-493631
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2009Q1",-514840
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2009Q2",-496852
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2009Q3",-509381
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2009Q4",-501237
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2010Q1",-518665
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2010Q2",-544826
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2010Q3",-556715
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2010Q4",-571893
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2011Q1",-590546
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2011Q2",-624027
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2011Q3",-607902
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2011Q4",-626268
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2012Q1",-632786
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2012Q2",-620079
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2012Q3",-602697
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2012Q4",-570658
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2013Q1",-535115
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2013Q2",-562123
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2013Q3",-537521
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2013Q4",-536874
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2014Q1",-543725
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2014Q2",-533916
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2014Q3",-505332
"Net portfolio investment ","Total ","Total ","Total ","Total ","Total ","2014Q4",-566964
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2003Q2",128720.8
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2003Q3",128162.3
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2003Q4",23733.2
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2004Q1",44813.9
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2004Q2",39221
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2004Q3",50512.7
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2004Q4",48896.9
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2005Q1",7872.7
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2005Q2",4602.1
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2005Q3",-67521.1
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2005Q4",-58381.7
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2006Q1",-101663
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2006Q2",-91914.4
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2006Q3",-113398
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2006Q4",-101717
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2007Q1",-132159
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2007Q2",-161424
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2007Q3",-107989
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2007Q4",-12099
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2008Q1",122.4
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2008Q2",10362.8
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2008Q3",60706
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2008Q4",49774.7
