iso3,year,gdp_current_dollars
ABW,2000,1873183360
ABW,2001,1896648832
ABW,2002,1962012416
ABW,2003,2044135168
ABW,2004,2254750464
ABW,2005,2359778304
ABW,2006,2469830400
ABW,2007,2677654016
ABW,2008,2843017728
ABW,2009,2553632000
ABW,2010,2453631488
ABW,2011,2637986816
ABW,2012,2615082496
ABW,2013,2727930880
ABW,2014,2791061760
ABW,2015,2963129856
ABW,2016,2983795968
ABW,2017,3092176640
ABW,2018,3202233088
ABW,2019,3368968960
ABW,2020,2610039552
ABW,2021,3126019584
ABW,2022,3478457344
AFG,2000,2933381376
AFG,2001,3377946368
AFG,2002,3841886976
AFG,2003,4362670080
AFG,2004,5090089472
AFG,2005,5966746624
AFG,2006,6795626496
AFG,2007,9110877184
AFG,2008,10120058880
AFG,2009,11732357120
AFG,2010,15091420160
AFG,2011,17606311936
AFG,2012,19432626176
AFG,2013,20127434752
AFG,2014,20405868544
AFG,2015,19831623680
AFG,2016,18019045376
AFG,2017,18694117376
AFG,2018,18289969152
AFG,2019,18502912000
AFG,2020,19920926720
AFG,2021,16377789440
AFG,2022,12623357952
AGO,2000,9129594880
AGO,2001,8936079360
AGO,2002,15285592064
AGO,2003,17812705280
AGO,2004,23552057344
AGO,2005,36970901504
AGO,2006,52381024256
AGO,2007,65266417664
AGO,2008,88538660864
AGO,2009,70307192832
AGO,2010,81699528704
AGO,2011,109436567552
AGO,2012,124998213632
AGO,2013,133401583616
AGO,2014,137244442624
AGO,2015,87219298304
AGO,2016,49840492544
AGO,2017,68972773376
AGO,2018,77792944128
AGO,2019,69309112320
AGO,2020,50241368064
AGO,2021,65685434368
AGO,2022,106713620480
AIA,2000,150237840
AIA,2001,154927984
AIA,2002,157629088
AIA,2003,170706096
AIA,2004,201104864
AIA,2005,228994032
AIA,2006,283103392
AIA,2007,354610656
AIA,2008,355859456
AIA,2009,284392544
AIA,2010,269518464
AIA,2011,293226016
AIA,2012,284510848
AIA,2013,286184960
AIA,2014,315674112
AIA,2015,330532896
AIA,2016,318751904
AIA,2017,281055168
AIA,2018,322455136
AIA,2019,376729472
AIA,2020,258440576
AIA,2021,302714688
AIA,2022,354238944
ALA,2000,
ALA,2001,
ALA,2002,
ALA,2003,
ALA,2004,
ALA,2005,
ALA,2006,
ALA,2007,
ALA,2008,
ALA,2009,
ALA,2010,
ALA,2011,
ALA,2012,
ALA,2013,
ALA,2014,
ALA,2015,
ALA,2016,
ALA,2017,
ALA,2018,
ALA,2019,
ALA,2020,
ALA,2021,
ALA,2022,
ALB,2000,3480355328
ALB,2001,3922100736
ALB,2002,4348068352
ALB,2003,5611496448
ALB,2004,7184685568
