country_name,country_code,n_obs,start_date,end_date
Austria,10189,109,Dec-11,Dec-20
Belgium,10251,109,Dec-11,Dec-20
Denmark,10502,109,Dec-11,Dec-20
Finland,10707,109,Dec-11,Dec-20
France,10804,109,Dec-11,Dec-20
Germany,11002,109,Dec-11,Dec-20
Greece,11207,109,Dec-11,Dec-20
Ireland,11401,109,Dec-11,Dec-20
Italy,11509,109,Dec-11,Dec-20
Luxembourg,11703,109,Dec-11,Dec-20
Monaco,12009,109,Dec-11,Dec-20
Netherlands,12106,109,Dec-11,Dec-20
Norway,12203,109,Dec-11,Dec-20
Portugal,12319,109,Dec-11,Dec-20
Spain,12505,109,Dec-11,Dec-20
Sweden,12602,109,Dec-11,Dec-20
Switzerland,12688,109,Dec-11,Dec-20
Turkey,12807,109,Dec-11,Dec-20
UK,13005,109,Dec-11,Dec-20
Guernsey,13006,109,Dec-11,Dec-20
Jersey,13007,109,Dec-11,Dec-20
CzechRep,15288,109,Dec-11,Dec-20
Poland,15768,109,Dec-11,Dec-20
Russia,16101,109,Dec-11,Dec-20
EuroArea,16713,109,Dec-11,Dec-20
EurTotal,19992,109,Dec-11,Dec-20
Canada,29998,109,Dec-11,Dec-20
Argentina,30104,109,Dec-11,Dec-20
Barbados,30155,109,Dec-11,Dec-20
Brazil,30309,109,Dec-11,Dec-20
Chile,30406,109,Dec-11,Dec-20
Colombia,30503,109,Dec-11,Dec-20
Mexico,31704,109,Dec-11,Dec-20
Panama,31887,109,Dec-11,Dec-20
Peru,32204,109,Dec-11,Dec-20
TrinidadTobago,32409,109,Dec-11,Dec-20
Uruguay,32603,109,Dec-11,Dec-20
Venezuela,32719,109,Dec-11,Dec-20
CaribTotal,34401,109,Dec-11,Dec-20
Aruba,35254,109,Dec-11,Dec-20
Bahamas,35319,109,Dec-11,Dec-20
Bermuda,35602,109,Dec-11,Dec-20
BritishVI,35807,109,Dec-11,Dec-20
Cayman,36137,109,Dec-11,Dec-20
Curacao,36188,108,Jan-12,Dec-20
NethAnt,37206,109,Dec-11,Dec-20
CaribBanking,39001,109,Dec-11,Dec-20
LATotal,39942,109,Dec-11,Dec-20
China,41408,109,Dec-11,Dec-20
HongKong,42005,109,Dec-11,Dec-20
India,42102,109,Dec-11,Dec-20
Indonesia,42218,109,Dec-11,Dec-20
Israel,42501,109,Dec-11,Dec-20
Japan,42609,109,Dec-11,Dec-20
Korea,43001,109,Dec-11,Dec-20
Lebanon,43419,109,Dec-11,Dec-20
Malaysia,43605,109,Dec-11,Dec-20
Philippines,44806,109,Dec-11,Dec-20
Singapore,46019,109,Dec-11,Dec-20
Taiwan,46302,109,Dec-11,Dec-20
Thailand,46418,109,Dec-11,Dec-20
UAE,46604,108,Jan-12,Dec-20
AsiaTotal,49999,109,Dec-11,Dec-20
Liberia,53201,109,Dec-11,Dec-20
Mauritius,53805,109,Dec-11,Dec-20
SouthAfrica,55719,109,Dec-11,Dec-20
Egypt,57002,109,Dec-11,Dec-20
AfricaTotal,59994,109,Dec-11,Dec-20
Australia,60089,109,Dec-11,Dec-20
NZealand,61689,109,Dec-11,Dec-20
EME,66666,109,Dec-11,Dec-20
ForeignAll,69995,109,Dec-11,Dec-20
IROTotal,79995,109,Dec-11,Dec-20
Total,99996,109,Dec-11,Dec-20
