date,country_code,country_name,us_bond_survey_pos,us_bond_adj_net_flow,us_bond_adj_val_chg,us_bond_monthly_gap,us_bond_est_pos,us_stk_survey_pos,us_stk_adj_net_flow,us_stk_adj_val_chg,us_stk_monthly_gap,us_stk_est_pos
12/31/2011,10189,Austria,5390,-301,0,,5390,6108,-53,-29,,6108
12/31/2011,10251,Belgium,5288,3137,770,,5288,28123,90,-156,,28123
12/31/2011,10502,Denmark,7464,28,37,,7464,32552,-127,-734,,32552
12/31/2011,10707,Finland,3539,-67,20,,3539,17492,-248,-1640,,17492
12/31/2011,10804,France,88378,-1423,321,,88378,209218,-88,310,,209218
12/31/2011,11002,Germany,82065,-3776,-331,,82065,174165,-677,-11608,,174165
12/31/2011,11207,Greece,885,8,-24,,885,2890,-15,-98,,2890
12/31/2011,11401,Ireland,34853,7305,552,,34853,114159,-119,7553,,114159
12/31/2011,11509,Italy,20856,-175,0,,20856,40416,-64,-1828,,40416
12/31/2011,11703,Luxembourg,61208,2747,1834,,61208,30971,238,-483,,30971
12/31/2011,12009,Monaco,0,1,0,,0,9,4,-3,,9
12/31/2011,12106,Netherlands,109591,-813,976,,109591,119460,-317,35,,119460
12/31/2011,12203,Norway,29445,-1237,59,,29445,21267,-229,-458,,21267
12/31/2011,12319,Portugal,679,-47,5,,679,3569,198,-205,,3569
12/31/2011,12505,Spain,22201,-823,244,,22201,53449,106,-1130,,53449
12/31/2011,12602,Sweden,33918,-1904,227,,33918,53863,-173,-549,,53863
12/31/2011,12688,Switzerland,5067,459,25,,5067,277846,-985,4861,,277846
12/31/2011,12807,Turkey,11151,12,-138,,11151,17287,-64,-1909,,17287
12/31/2011,13005,UK,285163,-13382,3801,,285163,641919,-7800,193,,641919
12/31/2011,13006,Guernsey,3674,4,54,,3674,13425,-50,75,,13425
12/31/2011,13007,Jersey,9059,165,-94,,9059,36267,86,-1712,,36267
12/31/2011,15288,CzechRep,517,10,0,,517,3762,27,-15,,3762
12/31/2011,15768,Poland,17138,46,-277,,17138,7083,-9,-566,,7083
12/31/2011,16101,Russia,8476,-158,-139,,8476,42858,-164,-5201,,42858
12/31/2011,16713,EuroArea,434934,5789,4367,,434934,800020,-1059,-9280,,800020
12/31/2011,19992,EurTotal,865766,-10448,7968,,865766,1955793,-10503,-14241,,1955793
12/31/2011,29998,Canada,329166,-4337,3328,,329166,358536,-650,-9057,,358536
12/31/2011,30104,Argentina,6663,-317,210,,6663,2921,121,-116,,2921
12/31/2011,30155,Barbados,1563,-158,44,,1563,17,26,-4,,17
12/31/2011,30309,Brazil,41388,-509,-145,,41388,154650,92,-3665,,154650
12/31/2011,30406,Chile,11791,434,117,,11791,10970,-162,18,,10970
12/31/2011,30503,Colombia,10737,222,129,,10737,4552,61,90,,4552
12/31/2011,31704,Mexico,45485,43,391,,45485,59422,443,-1325,,59422
12/31/2011,31887,Panama,4358,-519,18,,4358,16215,45,-169,,16215
12/31/2011,32204,Peru,5738,2,101,,5738,3162,73,-35,,3162
12/31/2011,32409,TrinidadTobago,1142,-2,27,,1142,4,-1,0,,4
12/31/2011,32603,Uruguay,2197,1093,32,,2197,1,-1,-1,,1
12/31/2011,32719,Venezuela,8495,-183,208,,8495,62,0,0,,62
12/31/2011,34401,CaribTotal,258435,-4776,1577,,258435,735388,1758,-10691,,735388
12/31/2011,35254,Aruba,548,-8,12,,548,0,-3,0,,0
12/31/2011,35319,Bahamas,1294,367,12,,1294,3162,-125,-25,,3162
12/31/2011,35602,Bermuda,25404,-763,396,,25404,135082,139,-1375,,135082
12/31/2011,35807,BritishVI,5130,561,126,,5130,42917,-2660,-144,,42917
12/31/2011,36137,Cayman,218194,-3877,992,,218194,487908,-880,-2038,,487908
12/31/2011,37206,NethAnt,3863,-82,34,,3863,65844,75,-7135,,65844
12/31/2011,39001,CaribBanking,258243,-5435,1453,,258243,751128,1914,-10742,,751128
12/31/2011,39942,LATotal,138422,268,1102,,138422,252014,597,-5207,,252014
12/31/2011,41408,China,1949,67,0,,1949,74727,-119,2052,,74727
12/31/2011,42005,HongKong,2906,105,0,,2906,112274,351,1827,,112274
12/31/2011,42102,India,2873,120,-6,,2873,55056,265,-3529,,55056
12/31/2011,42218,Indonesia,11874,85,119,,11874,27168,86,855,,27168
12/31/2011,42501,Israel,18537,-90,49,,18537,37202,-146,-130,,37202
12/31/2011,42609,Japan,57379,-2270,650,,57379,391341,-251,2654,,391341
12/31/2011,43001,Korea,27580,-2661,79,,27580,116656,-153,-1994,,116656
12/31/2011,43419,Lebanon,307,2,0,,307,153,-1,-12,,153
12/31/2011,43605,Malaysia,10597,340,79,,10597,20763,-187,768,,20763
12/31/2011,44806,Philippines,8079,-37,-1,,8079,9264,-27,310,,9264
12/31/2011,46019,Singapore,9751,-412,-2,,9751,47987,-858,-1439,,47987
12/31/2011,46302,Taiwan,346,3,0,,346,71800,173,2088,,71800
12/31/2011,46418,Thailand,1862,127,-5,,1862,21293,237,458,,21293
12/31/2011,49999,AsiaTotal,169074,-4184,1007,,169074,990065,-662,3699,,990065
12/31/2011,53201,Liberia,1880,-3,-8,,1880,2103,2,-221,,2103
