date,country_name,country_code,ftot_agcy_survey_pos,ftot_agcy_adj_net_flow,ftot_agcy_adj_val_chg,ftot_agcy_monthly_gap,ftot_agcy_est_pos,ftot_corp_survey_pos,ftot_corp_adj_net_flow,ftot_corp_adj_val_chg,ftot_corp_monthly_gap,ftot_corp_est_pos,ftot_stk_survey_pos,ftot_stk_adj_net_flow,ftot_stk_adj_val_chg,ftot_stk_monthly_gap,ftot_stk_est_pos,ftot_treas_survey_pos,ftot_treas_adj_net_flow,ftot_treas_adj_val_chg,ftot_treas_monthly_gap,ftot_treas_est_pos
6/30/2011,Austria,10189,424,19,-2,0,424,2271,-9,-11,0,2271,6629,-47,-120,0,6629,2114,39,-6,0,2114
6/30/2011,Belgium,10251,6612,-5,-24,0,6612,319963,-2299,-1748,0,319963,24972,-248,-450,0,24972,85211,100,-121,0,85211
6/30/2011,Denmark,10502,1116,-86,-3,0,1116,17882,-60,-75,0,17882,33541,114,-628,0,33541,6903,-1668,-24,0,6903
6/30/2011,Finland,10707,289,-9,-1,0,289,2840,-22,-13,0,2840,13560,169,-243,0,13560,2178,182,-6,0,2178
6/30/2011,France,10804,1765,284,-32,0,1765,60152,-897,-232,0,60152,141123,-293,-3163,0,141123,32827,-351,-112,0,32827
6/30/2011,Germany,11002,7288,61,-45,0,7288,84926,-596,-331,0,84926,81093,695,-1367,0,81093,57938,780,-226,0,57938
6/30/2011,Greece,11207,72,-1,0,0,72,2275,6,-2,0,2275,1624,-8,-25,0,1624,982,180,-1,0,982
6/30/2011,Ireland,11401,25657,-1217,-37,0,25657,128829,56,-686,0,128829,105424,286,-1899,0,105424,31283,-2629,-64,0,31283
6/30/2011,Italy,11509,2415,8,-6,0,2415,3926,-19,-18,0,3926,15350,-1022,-354,0,15350,18804,-84,-89,0,18804
6/30/2011,Luxembourg,11703,18996,-1514,-22,0,18996,350211,-1445,-1639,0,350211,290874,-208,-4214,0,290874,87631,-4703,-161,0,87631
6/30/2011,Netherlands,12106,12012,653,-19,0,12012,56061,-327,-292,0,56061,164999,-1187,-3628,0,164999,21276,53,-84,0,21276
6/30/2011,Norway,12203,9100,368,-16,0,9100,21856,226,-124,0,21856,123873,513,-2222,0,123873,25745,-272,-81,0,25745
6/30/2011,Portugal,12319,57,0,0,0,57,487,-3,-2,0,487,3216,2,-45,0,3216,1924,35,-6,0,1924
6/30/2011,Spain,12505,1239,-6,-3,0,1239,4127,12,-30,0,4127,10082,-11,-154,0,10082,9698,-762,-21,0,9698
6/30/2011,Sweden,12602,1558,16,-4,0,1558,12587,-82,-58,0,12587,64591,-394,-1199,0,64591,27154,557,-79,0,27154
6/30/2011,Switzerland,12688,14068,-430,-27,0,14068,125320,-221,-594,0,125320,229202,-374,-4152,0,229202,106373,535,-388,0,106373
6/30/2011,Turkey,12807,2,0,0,0,2,81,-1,-2,0,81,261,1,-4,0,261,12105,308,-44,0,12105
6/30/2011,UK,13005,11787,-3033,0,0,11787,394028,-5953,-1988,0,394028,441470,1406,-8880,0,441470,117941,6074,-1308,0,117941
6/30/2011,Guernsey,13006,2238,20,-4,0,2238,3995,-57,-43,0,3995,12444,-52,-253,0,12444,1049,5,-4,0,1049
6/30/2011,Jersey,13007,372,4,-2,0,372,16849,-181,-85,0,16849,13794,28,-222,0,13794,1328,198,-7,0,1328
6/30/2011,Poland,15768,154,0,-1,0,154,157,0,-2,0,157,164,-27,-10,0,164,26391,1141,-92,0,26391
6/30/2011,Russia,16101,1671,0,0,0,1671,422,0,-1,0,422,323,9,-3,0,323,136147,1966,-377,0,136147
6/30/2011,EuroArea,16713,76827,-1727,-191,0,76827,1016067,-5545,-5004,0,1016067,858945,-1902,-15662,0,858945,351867,-7049,-896,0,351867
6/30/2011,EurTotal,19992,120926,-4944,-249,0,120926,1614829,-11910,-8009,0,1614829,1789171,-666,-33421,0,1789171,850934,1831,-3458,0,850934
6/30/2011,Canada,29998,4905,1219,-24,0,4905,90317,-122,-438,0,90317,415359,3894,-7559,0,415359,35543,-5881,-338,0,35543
6/30/2011,Argentina,30104,197,-6,-1,0,197,1972,5,-12,0,1972,4911,14,-97,0,4911,1281,115,-5,0,1281
6/30/2011,Barbados,30155,603,34,-2,0,603,3270,6,-20,0,3270,1077,-3,-23,0,1077,2861,57,-17,0,2861
6/30/2011,Brazil,30309,1323,212,-4,0,1323,952,192,-11,0,952,2430,-207,-45,0,2430,212000,-1417,-829,0,212000
6/30/2011,Chile,30406,70,11,0,0,70,1388,304,-7,0,1388,18034,-278,-302,0,18034,15296,2391,-65,0,15296
6/30/2011,Colombia,30503,2170,15,-5,0,2170,2007,-22,-8,0,2007,6562,-153,-103,0,6562,6929,995,-29,0,6929
6/30/2011,Mexico,31704,28503,528,-53,0,28503,10373,-243,-68,0,10373,25338,496,-449,0,25338,29457,1684,-104,0,29457
6/30/2011,Panama,31887,1488,45,-4,0,1488,3471,9,-20,0,3471,7696,-9,-159,0,7696,578,-6,-2,0,578
6/30/2011,Peru,32204,2147,-18,-6,0,2147,1605,-1,-11,0,1605,2592,-60,-46,0,2592,7848,59,-28,0,7848
6/30/2011,TrinidadTobago,32409,761,-5,-1,0,761,1233,-9,-4,0,1233,1238,-2,-22,0,1238,4604,125,-17,0,4604
6/30/2011,Uruguay,32603,318,14,0,0,318,945,28,-7,0,945,1842,9,-48,0,1842,4467,-11,-18,0,4467
6/30/2011,Venezuela,32719,395,1,-2,0,395,1766,46,-13,0,1766,2223,37,-48,0,2223,2692,-10,-12,0,2692
6/30/2011,CaribTotal,34401,85094,5842,-181,0,85094,467190,-582,-2430,0,467190,558413,-4714,-10908,0,558413,111099,-7498,-326,0,111099
6/30/2011,Aruba,35254,347,-6,-1,0,347,47,-1,0,0,47,470,1,-9,0,470,115,-8,-1,0,115
6/30/2011,Bahamas,35319,2154,200,-7,0,2154,4446,2,-24,0,4446,18708,-991,-451,0,18708,4380,-2609,-53,0,4380
6/30/2011,Bermuda,35602,41522,73,-94,0,41522,99942,-277,-491,0,99942,58897,823,-1159,0,58897,43508,1460,-180,0,43508
6/30/2011,BritishVI,35807,1211,25,-4,0,1211,21378,-38,-118,0,21378,60858,-450,-1098,0,60858,6416,776,-14,0,6416
6/30/2011,Cayman,36137,37274,5571,-69,0,37274,331270,-841,-1736,0,331270,393289,-3191,-7648,0,393289,47122,-7984,-60,0,47122
6/30/2011,NethAnt,37206,329,-4,-1,0,329,4179,532,-27,0,4179,5660,-489,-209,0,5660,1049,666,0,0,1049
6/30/2011,CaribBanking,39001,83978,5911,-178,0,83978,464685,-613,-2416,0,464685,545107,-4307,-10725,0,545107,103054,-7697,-308,0,103054
6/30/2011,LATotal,39942,37352,914,-78,0,37352,25971,338,-167,0,25971,73896,-134,-1374,0,73896,286795,3917,-1121,0,286795
6/30/2011,China,41408,244747,-5220,-662,0,244747,15796,329,-60,0,15796,158781,-208,-3062,0,158781,1302405,4113,-4684,0,1302405
6/30/2011,HongKong,42005,115271,-1456,-190,0,115271,14109,125,-83,0,14109,43474,1680,-960,0,43474,53060,3337,-225,0,53060
6/30/2011,India,42102,2,0,0,0,2,38,3,-14,0,38,1019,-24,-6,0,1019,26991,-538,-102,0,26991
6/30/2011,Indonesia,42218,1220,9,-2,0,1220,259,208,-3,0,259,304,5,-13,0,304,17236,-46,-57,0,17236
6/30/2011,Israel,42501,1468,-2,-3,0,1468,3613,47,-18,0,3613,19512,-81,-320,0,19512,12813,132,-37,0,12813
6/30/2011,Japan,42609,258069,-3025,-605,0,258069,140117,-1162,-731,0,140117,301909,1369,-5452,0,301909,818007,1201,-3426,0,818007
6/30/2011,Korea,43001,66185,-1210,-155,0,66185,10015,-479,-45,0,10015,19988,-100,-307,0,19988,32556,-2562,-126,0,32556
6/30/2011,Malaysia,43605,20011,-322,-39,0,20011,3100,-33,-18,0,3100,3520,45,-57,0,3520,13826,-395,-50,0,13826
6/30/2011,Philippines,44806,20,0,0,0,20,341,44,-2,0,341,1189,-22,-18,0,1189,26721,-989,-93,0,26721
6/30/2011,Singapore,46019,1737,-382,-5,0,1737,38295,121,-192,0,38295,106762,851,-2042,0,106762,57822,3157,-210,0,57822
6/30/2011,Taiwan,46302,46282,44,-125,0,46282,22584,104,-130,0,22584,15920,305,-287,0,15920,144297,80,-611,0,144297
6/30/2011,Thailand,46418,13,-51,0,0,13,694,13,-5,0,694,1833,44,-28,0,1833,17305,197,-97,0,17305
6/30/2011,AsiaTotal,49999,767759,-11384,-1821,0,767759,271001,-848,-1431,0,271001,865607,4640,-15860,0,865607,2657556,5527,-10210,0,2657556
6/30/2011,Liberia,53201,90,-1,0,0,90,317,4,-2,0,317,862,3,-16,0,862,50,0,0,0,50
6/30/2011,Mauritius,53805,5,0,0,0,5,23,-6,0,0,23,522,21,-2,0,522,83,-4,0,0,83
6/30/2011,SouthAfrica,55719,44,5,0,0,44,1011,-5,-5,0,1011,2874,27,-51,0,2874,9926,1059,-27,0,9926
6/30/2011,Egypt,57002,86,-4,0,0,86,555,-1,-3,0,555,223,1,-5,0,223,2305,-1,-9,0,2305
6/30/2011,AfricaTotal,59994,784,-15,-3,0,784,2871,-9,-16,0,2871,8194,65,-139,0,8194,24152,1442,-111,0,24152
6/30/2011,Australia,60089,5377,-51,-5,0,5377,26489,-1166,-113,0,26489,105845,628,-1847,0,105845,16580,1946,-30,0,16580
6/30/2011,NZealand,61689,372,-22,0,0,372,1721,-10,-12,0,1721,7594,49,-148,0,7594,2140,-2,-5,0,2140
6/30/2011,ForeignAll,69995,1022702,-8442,-2361,0,1022702,2636670,-14331,-12617,0,2636670,3826844,3766,-71273,0,3826844,3984918,1250,-15592,0,3984918
6/30/2011,IROTotal,79995,8249,-92,-17,0,8249,14499,-305,-70,0,14499,3052,27,-123,0,3052,62795,641,-134,0,62795
6/30/2011,FOI_All_Countries,99990,634577,-7166,-1449,0,634577,103926,-694,-526,0,103926,567226,844,-10419,0,567226,3101991,11283,-11431,0,3101991
6/30/2011,Total,99996,1030951,-8534,-2377,0,1030951,2651169,-14636,-12687,0,2651169,3829896,3793,-71397,0,3829896,4047713,1891,-15726,0,4047713
7/31/2011,Austria,10189,ND,19,3,0,447,ND,34,21,-126,2200,ND,-8,-136,123,6607,ND,4,23,-3,2137
7/31/2011,Belgium,10251,ND,-40,46,307,6926,ND,-849,3003,3247,325364,ND,-521,-514,-397,23540,ND,-21,925,12331,98446
7/31/2011,Denmark,10502,ND,-41,8,31,1114,ND,-45,168,-976,17028,ND,-230,-690,-616,32005,ND,-217,75,361,7122
7/31/2011,Finland,10707,ND,-2,2,-3,286,ND,-7,27,8,2867,ND,-52,-279,-261,12968,ND,29,24,83,2313
7/31/2011,France,10804,ND,883,12,-889,1771,ND,-1443,565,-544,58729,ND,-954,-2905,1870,139134,ND,2598,356,-10495,25286
7/31/2011,Germany,11002,ND,62,51,-2,7398,ND,-525,797,587,85785,ND,644,-1669,-1208,78859,ND,56,629,1009,59633
7/31/2011,Greece,11207,ND,1,1,78,152,ND,-1,21,207,2502,ND,-16,-33,-86,1488,ND,-3,11,91,1080
7/31/2011,Ireland,11401,ND,-632,179,1276,26480,ND,135,1209,-1403,128770,ND,50,-2170,-3385,99919,ND,-2306,340,3726,33043
7/31/2011,Italy,11509,ND,-21,17,22,2433,ND,-15,37,57,4006,ND,969,-316,-788,15214,ND,843,204,-158,19693
7/31/2011,Luxembourg,11703,ND,-402,132,4732,23458,ND,-993,3287,-9072,343433,ND,-748,-5987,-1318,282821,ND,-514,952,-723,87345
7/31/2011,Netherlands,12106,ND,-132,84,210,12174,ND,-300,526,-280,56007,ND,-55,-3396,795,162343,ND,-804,231,68,20771
7/31/2011,Norway,12203,ND,331,63,-1283,8211,ND,-977,205,460,21544,ND,312,-2550,-842,120793,ND,-2636,280,2865,26253
7/31/2011,Portugal,12319,ND,0,0,2,59,ND,-1,5,-10,481,ND,-145,-66,469,3474,ND,16,21,18,1979
7/31/2011,Spain,12505,ND,55,9,2,1304,ND,-33,39,-205,3928,ND,-145,-208,-805,8925,ND,806,105,-277,10333
7/31/2011,Sweden,12602,ND,11,11,-23,1556,ND,-206,118,84,12583,ND,-468,-1330,310,63104,ND,-34,295,348,27763
7/31/2011,Switzerland,12688,ND,-124,98,392,14433,ND,-69,1176,-6253,120175,ND,-1089,-4718,-3060,220336,ND,406,1155,-917,107018
7/31/2011,Turkey,12807,ND,0,0,,,ND,0,1,-7,74,ND,-4,-5,-34,218,ND,861,131,-185,12912
7/31/2011,UK,13005,ND,-4324,82,3231,10776,ND,4271,3698,4522,406520,ND,-1278,-9087,4730,435836,ND,3938,1281,-24657,98502
7/31/2011,Guernsey,13006,ND,-11,16,-140,2103,ND,27,37,-131,3928,ND,-6,-256,383,12564,ND,-42,11,234,1253
7/31/2011,Jersey,13007,ND,-15,3,132,491,ND,8,158,-798,16218,ND,50,-284,-604,12956,ND,-106,14,-194,1043
7/31/2011,Poland,15768,ND,0,1,-77,78,ND,6,1,-19,145,ND,-32,-3,-34,94,ND,1288,287,-349,27617
7/31/2011,Russia,16101,ND,0,12,-556,1126,ND,2,4,-16,413,ND,-13,-7,-32,272,ND,1886,1478,3103,142614
7/31/2011,EuroArea,16713,ND,-210,535,4693,81846,ND,-4007,9537,-7420,1014177,ND,-978,-17680,-5159,835128,ND,748,3821,638,357074
7/31/2011,EurTotal,19992,ND,-4299,843,6627,124097,ND,-1000,15157,-10385,1618601,ND,-3991,-36828,-5311,1743041,ND,5338,9241,-25294,840218
7/31/2011,Canada,29998,ND,-1037,34,-232,3670,ND,-587,848,-305,90273,ND,-26,-8550,1297,408080,ND,1011,386,-1714,35226
7/31/2011,Argentina,30104,ND,-1,1,-31,166,ND,48,19,-182,1857,ND,-131,-101,-321,4358,ND,-26,14,-17,1252
7/31/2011,Barbados,30155,ND,12,4,24,643,ND,30,31,94,3424,ND,41,-22,81,1177,ND,-428,31,-33,2431
7/31/2011,Brazil,30309,ND,548,9,-26,1853,ND,111,9,-85,987,ND,-207,-50,-38,2135,ND,3256,2302,1016,218574
7/31/2011,Chile,30406,ND,-2,0,101,169,ND,40,13,-8,1433,ND,-162,-371,-869,16632,ND,225,166,-508,15179
7/31/2011,Colombia,30503,ND,-47,15,-27,2111,ND,-43,19,33,2016,ND,-23,-135,102,6506,ND,-62,75,338,7280
7/31/2011,Mexico,31704,ND,2724,199,573,31999,ND,300,97,-526,10245,ND,-54,-522,-1234,23528,ND,-322,320,118,29573
7/31/2011,Panama,31887,ND,38,10,0,1536,ND,47,33,-59,3492,ND,-152,-158,-136,7250,ND,-5,6,74,653
7/31/2011,Peru,32204,ND,12,15,-14,2160,ND,28,15,77,1725,ND,110,-53,133,2782,ND,35,85,-58,7911
7/31/2011,TrinidadTobago,32409,ND,10,5,26,802,ND,-3,12,14,1256,ND,13,-25,-25,1200,ND,-21,50,-47,4586
7/31/2011,Uruguay,32603,ND,14,2,-29,306,ND,24,9,-123,855,ND,-5,-38,-76,1723,ND,200,49,28,4743
7/31/2011,Venezuela,32719,ND,-1,3,4,401,ND,17,17,-123,1677,ND,-35,-46,-95,2048,ND,-9,29,-53,2659
7/31/2011,CaribTotal,34401,ND,5816,593,-4270,87233,ND,807,4385,-3351,469031,ND,4279,-11494,8124,559322,ND,-5712,1206,-6330,100264
7/31/2011,Aruba,35254,ND,25,2,-28,346,ND,0,0,0,48,ND,8,-10,-10,458,ND,0,1,3,120
7/31/2011,Bahamas,35319,ND,-5,15,-296,1868,ND,-11,42,-169,4308,ND,62,-385,-444,17941,ND,-1745,48,-979,1704
7/31/2011,Bermuda,35602,ND,-33,289,-235,41543,ND,62,938,-266,100675,ND,-666,-1212,-1186,55833,ND,-342,472,371,44010
7/31/2011,BritishVI,35807,ND,-71,8,33,1182,ND,49,201,-388,21239,ND,474,-1253,4937,65017,ND,74,70,619,7179
7/31/2011,Cayman,36137,ND,5856,260,-3456,39933,ND,219,3109,-1553,333045,ND,3872,-8095,7474,396540,ND,-3178,512,-4267,40189
7/31/2011,NethAnt,37206,ND,21,2,-122,230,ND,481,39,-1142,3556,ND,841,-116,-978,5406,ND,-416,11,-72,573
7/31/2011,CaribBanking,39001,ND,5807,585,-4225,86145,ND,846,4361,-3740,466152,ND,4431,-11220,9846,548164,ND,-5612,1119,-5753,92808
7/31/2011,LATotal,39942,ND,3489,260,342,41444,ND,659,244,-1194,25680,ND,-675,-1521,-2720,68980,ND,2968,3114,577,293455
