date, country code, country name,foi_agcy_survey_pos,foi_agcy_adj_net_flow,foi_agcy_adj_val_chg,foi_agcy_monthly_gap,foi_agcy_est_pos,foi_corp_survey_pos,foi_corp_adj_net_flow,foi_corp_adj_val_chg,foi_corp_monthly_gap,foi_corp_est_pos,foi_stk_survey_pos,foi_stk_adj_net_flow,foi_stk_adj_val_chg,foi_stk_monthly_gap,foi_stk_est_pos,foi_treas_survey_pos,foi_treas_adj_net_flow,foi_treas_adj_val_chg,foi_treas_monthly_gap,foi_treas_est_pos
12/31/1984, 99996, All Countries and IROs,      7311,        ND,           ND,           ND,      7311,      5228,        ND,           ND,           ND,      5223,     10002,        ND,           ND,           ND,      9999,     84107,        ND,           ND,           ND,     84105
01/31/1985, 99996, All Countries and IROs,        ND,      -100,        47.52,       -30.31,      7228,        ND,       -18,       102.89,       -24.15,      5284,        ND,       -21,       765.53,        60.82,     10804,        ND,      2539,       933.57,      -162.65,     87415
02/28/1985, 99996, All Countries and IROs,        ND,      -160,      -150.25,       -15.84,      6902,        ND,        34,      -178.89,       -22.21,      5117,        ND,      -104,        89.62,        59.55,     10850,        ND,      1345,     -2338.32,      -139.77,     86282
03/31/1985, 99996, All Countries and IROs,        ND,       -61,        56.38,       -29.43,      6868,        ND,       -37,        49.57,       -23.25,      5106,        ND,        52,        -8.63,        61.07,     10954,        ND,     -5260,       883.17,      -195.31,     81710
04/30/1985, 99996, All Countries and IROs,        ND,      -155,        68.86,       -30.98,      6751,        ND,      -266,        65.21,       -22.35,      4883,        ND,       -86,       -61.98,        58.04,     10865,        ND,      -600,       846.74,      -273.90,     81682
05/31/1985, 99996, All Countries and IROs,        ND,       333,       215.01,       -36.89,      7262,        ND,      -246,       268.67,       -26.13,      4880,        ND,        73,       619.74,        74.82,     11632,        ND,      3614,      3131.36,      -315.88,     88112
06/30/1985, 99996, All Countries and IROs,        ND,       -36,        15.58,       -34.15,      7207,        ND,      -393,         0.00,       -18.35,      4468,        ND,       115,       127.46,        64.27,     11938,        ND,      2701,       204.94,      -238.60,     90780
07/31/1985, 99996, All Countries and IROs,        ND,        69,       -76.19,       -32.16,      7167,        ND,      -198,       -63.54,       -14.67,      4192,        ND,        36,       -73.53,        57.77,     11959,        ND,      1801,     -1178.08,      -262.67,     91140
08/31/1985, 99996, All Countries and IROs,        ND,        86,        50.25,       -36.01,      7268,        ND,      -124,        65.58,       -17.84,      4115,        ND,       -13,      -143.32,        53.12,     11855,        ND,      -117,       731.89,      -238.14,     91516
09/30/1985, 99996, All Countries and IROs,        ND,       -99,       -66.98,       -36.57,      7066,        ND,       -97,       -35.56,       -13.63,      3969,        ND,        18,      -398.22,        39.63,     11515,        ND,      1082,      -102.59,      -163.41,     92333
10/31/1985, 99996, All Countries and IROs,        ND,       182,        47.07,       -35.37,      7259,        ND,       -18,        62.69,       -17.95,      3996,        ND,        27,       459.62,        80.90,     12082,        ND,     -1232,      1008.92,      -233.94,     91876
11/30/1985, 99996, All Countries and IROs,        ND,      -103,        98.59,       -39.78,      7215,        ND,       -32,        73.44,       -19.02,      4019,        ND,      -151,       757.62,       101.35,     12790,        ND,      -226,      1316.94,      -235.48,     92732
12/31/1985, 99996, All Countries and IROs,        ND,      -226,       138.70,       -42.49,      7085,        ND,      -142,       100.02,       -19.99,      3956,        ND,       173,       583.18,        99.58,     13646,        ND,      2743,      2103.31,      -261.24,     97317
01/31/1986, 99996, All Countries and IROs,        ND,      -166,       -13.48,       -34.46,      6871,        ND,        14,        -4.20,       -15.31,      3950,        ND,       164,        39.96,        70.73,     13920,        ND,       365,      -310.06,      -192.21,     97179
02/28/1986, 99996, All Countries and IROs,        ND,         3,       142.58,       -38.57,      6978,        ND,        -3,       169.05,       -26.41,      4090,        ND,         5,       946.19,       138.95,     15010,        ND,       644,      3513.16,      -290.66,    101046
03/31/1986, 99996, All Countries and IROs,        ND,       -12,       123.89,       -45.04,      7045,        ND,        99,        67.32,       -21.31,      4235,        ND,        97,       738.58,       127.45,     15973,        ND,       437,      3502.89,      -253.07,    104733
04/30/1986, 99996, All Countries and IROs,        ND,      -413,       -17.42,       -24.31,      6590,        ND,       -83,       -10.44,       -15.75,      4126,        ND,       301,      -248.68,        60.69,     16086,        ND,      3862,      -368.07,      -259.96,    107967
05/31/1986, 99996, All Countries and IROs,        ND,      -354,      -138.13,       -17.38,      6081,        ND,       -60,       -83.99,        -9.39,      3972,        ND,        55,       689.28,       138.56,     16969,        ND,       159,     -3607.24,       -73.56,    104444
06/30/1986, 99996, All Countries and IROs,        ND,       124,       103.98,       -52.04,      6256,        ND,      -540,        46.01,       -15.24,      3463,        ND,      -199,       159.49,        92.45,     17022,        ND,      1616,      2846.92,      -358.06,    108549
07/31/1986, 99996, All Countries and IROs,        ND,      -373,        24.81,       -37.17,      5871,        ND,      -444,       -14.08,        -7.83,      2997,        ND,       161,      -875.01,        -5.49,     16303,        ND,      1475,      -123.95,      -201.93,    109698
08/31/1986, 99996, All Countries and IROs,        ND,       122,       106.70,       -43.54,      6057,        ND,       -15,        43.85,       -13.89,      3012,        ND,        45,      1055.01,       177.62,     17581,        ND,       136,      2531.85,      -285.69,    112081
09/30/1986, 99996, All Countries and IROs,        ND,       -18,      -130.75,       -14.19,      5894,        ND,       -74,       -37.14,        -4.63,      2896,        ND,        42,     -1406.06,       -73.03,     16144,        ND,      1966,     -2777.85,      -202.31,    111067
10/31/1986, 99996, All Countries and IROs,        ND,        14,        38.45,       -35.62,      5911,        ND,       -49,        28.08,       -11.46,      2863,        ND,       -31,       783.91,       153.90,     17050,        ND,      3383,       753.37,      -232.84,    114970
11/30/1986, 99996, All Countries and IROs,        ND,       -39,        36.75,       -35.99,      5873,        ND,      -207,        24.00,        -7.76,      2672,        ND,      -112,       315.93,       106.74,     17361,        ND,       212,       576.33,      -308.55,    115450
12/31/1986, 99996, All Countries and IROs,        ND,       -81,       -24.72,       -28.16,      5739,        ND,      -227,         1.84,        -5.79,      2441,        ND,       221,      -437.18,        18.17,     17163,        ND,       324,      -761.02,      -263.72,    114749
