Date;KONSOLIDIERUNGSSTUFE;INLANDAUSLAND;WAEHRUNG;BANKENGRUPPE;Value
1987;U;A;U;A30;
1987;U;ABW;U;A30;
1987;U;AFG;U;A30;9747
1987;U;AGO;U;A30;26669
1987;U;ALB;U;A30;442
1987;U;AND;U;A30;46070
1987;U;ARE;U;A30;6284940
1987;U;ARG;U;A30;2763089
1987;U;ARM;U;A30;
1987;U;AUS;U;A30;436953
1987;U;AUT;U;A30;687643
1987;U;AZE;U;A30;
1987;U;BDI;U;A30;10825
1987;U;BEL;U;A30;4183427
1987;U;BEN;U;A30;12689
1987;U;BES;U;A30;
1987;U;BFA;U;A30;
1987;U;BGD;U;A30;6145
1987;U;BGR;U;A30;3679
1987;U;BHR;U;A30;516032
1987;U;BHS;U;A30;2130382
1987;U;BIH;U;A30;
1987;U;BLR;U;A30;
1987;U;BLZ;U;A30;1097
1987;U;BMU;U;A30;511541
1987;U;BOL;U;A30;20852
1987;U;BRA;U;A30;2925452
1987;U;BRB;U;A30;5194
1987;U;BRN;U;A30;413763
1987;U;BTN;U;A30;0
1987;U;BWA;U;A30;2235
1987;U;CAF;U;A30;13055
1987;U;CAN;U;A30;919527
1987;U;CHL;U;A30;263071
1987;U;CHN;U;A30;16989
1987;U;CIV;U;A30;277588
1987;U;CMR;U;A30;101940
1987;U;COD;U;A30;
1987;U;COG;U;A30;42600
1987;U;COL;U;A30;289632
1987;U;COM;U;A30;3189
1987;U;CPV;U;A30;32
1987;U;CRI;U;A30;70890
1987;U;CUB;U;A30;2682
1987;U;CUW;U;A30;
1987;U;CYM;U;A30;1835349
1987;U;CYP;U;A30;298561
1987;U;CZE;U;A30;
1987;U;DEU;U;A30;4696294
1987;U;DJI;U;A30;111874
1987;U;DMA;U;A30;86731
1987;U;DNK;U;A30;89547
1987;U;DOM;U;A30;29188
1987;U;DZA;U;A30;348696
1987;U;ECU;U;A30;109354
1987;U;EGY;U;A30;1166235
1987;U;ERI;U;A30;
1987;U;ESP;U;A30;3169299
1987;U;EST;U;A30;
1987;U;ETH;U;A30;13147
1987;U;FIN;U;A30;34206
1987;U;FJI;U;A30;1525
1987;U;FLK;U;A30;762
1987;U;FRO;U;A30;
1987;U;FSM;U;A30;
1987;U;GAB;U;A30;86788
1987;U;GBR;U;A30;10652122
1987;U;GEO;U;A30;
1987;U;GGY;U;A30;
1987;U;GHA;U;A30;25327
1987;U;GIB;U;A30;66888
1987;U;GIN;U;A30;9148
1987;U;GMB;U;A30;15021
1987;U;GNB;U;A30;322
1987;U;GNQ;U;A30;6055
1987;U;GRC;U;A30;2983353
1987;U;GRD;U;A30;793
1987;U;GRL;U;A30;
1987;U;GTM;U;A30;33745
1987;U;GUY;U;A30;1980
1987;U;HKG;U;A30;1890334
1987;U;HND;U;A30;11385
1987;U;HRV;U;A30;
1987;U;HTI;U;A30;8470
1987;U;HUN;U;A30;2545
1987;U;IDN;U;A30;632469
1987;U;IMN;U;A30;
1987;U;IND;U;A30;1582787
1987;U;IRL;U;A30;97967
1987;U;IRN;U;A30;675529
1987;U;IRQ;U;A30;418948
1987;U;ISL;U;A30;68176
1987;U;ISR;U;A30;1412179
1987;U;ITA;U;A30;8903376
1987;U;JAM;U;A30;4428
1987;U;JEY;U;A30;
1987;U;JOR;U;A30;659893
1987;U;JPN;U;A30;390367
1987;U;KAZ;U;A30;
1987;U;KEN;U;A30;329112
1987;U;KGZ;U;A30;
1987;U;KHM;U;A30;447
1987;U;KIR;U;A30;0
1987;U;KOR;U;A30;72984
1987;U;KWT;U;A30;1840545
1987;U;LAO;U;A30;8589
1987;U;LBN;U;A30;2806135
1987;U;LBR;U;A30;2721204
1987;U;LBY;U;A30;459683
1987;U;LCA;U;A30;8417
1987;U;LKA;U;A30;18170
1987;U;LSO;U;A30;4095
1987;U;LTU;U;A30;
1987;U;LUX;U;A30;1078742
1987;U;LVA;U;A30;
1987;U;MAC;U;A30;10362
1987;U;MAR;U;A30;641369
1987;U;MDA;U;A30;
1987;U;MDG;U;A30;79412
1987;U;MDV;U;A30;51
1987;U;MEX;U;A30;1221197
1987;U;MHL;U;A30;
1987;U;MKD;U;A30;
1987;U;MLI;U;A30;6873
1987;U;MLT;U;A30;54760
1987;U;MMR;U;A30;7217
1987;U;MNE;U;A30;
1987;U;MNG;U;A30;0
1987;U;MOZ;U;A30;3263
1987;U;MRT;U;A30;4012
1987;U;MUS;U;A30;13780
1987;U;MWI;U;A30;2511
1987;U;MYS;U;A30;124136
1987;U;NAM;U;A30;1058
1987;U;NCL;U;A30;6436
1987;U;NER;U;A30;23511
1987;U;NGA;U;A30;370067
1987;U;NIC;U;A30;16919
1987;U;NLD;U;A30;1730807
1987;U;NOR;U;A30;197518
1987;U;NPL;U;A30;4140
