CubeId;BSTA@SNB.JAHR_B.ABI.TRE.PAS;;;;;;
PublishingDate;22/06/2023 14:04;;;;;;
;;;;;;;
Date;KONSOLIDIERUNGSSTUFE;INLANDAUSLAND;WAEHRUNG;ANGELEGT;BANKENGRUPPE;Value;uschf_end
1987;B;I;T;T;A30;47731859;1.278
1988;B;I;T;T;A30;58553904;1.504
1989;B;I;T;T;A30;83596089;1.5465
1990;B;I;T;T;A30;94996465;1.2955
1991;B;I;T;T;A30;92759523;1.3555
1992;B;I;T;T;A30;93995711;1.456
1993;B;I;T;T;A30;79818801;1.4795
1994;B;I;T;T;A30;76595159;1.3115
1995;B;I;T;T;A30;63631926;1.1505
1996;B;I;T;T;A30;71776846;1.3464
1997;B;I;T;T;A30;76410751;1.4553
1998;B;I;T;T;A30;73876042;1.3765
1999;B;I;T;T;A30;77595673;1.5996
2000;B;I;T;T;A30;96597214;1.6365
2001;B;I;T;T;A30;90371142;1.6773
2002;B;I;T;T;A30;70920352;1.3868
2003;B;I;T;T;A30;62103460;1.2369
2004;B;I;T;T;A30;62655114;1.1316
2005;B;I;T;T;A30;78942345;1.3143
2006;B;I;T;T;A30;97757033;1.2203
2007;B;I;T;T;A30;114219111;1.1255
2008;B;I;T;T;A30;91979055;1.0637
2009;B;I;T;T;A30;61881377;1.03
2010;B;I;T;T;A30;47318048;0.94
2011;B;I;T;T;A30;42510791;0.94
2012;B;I;T;T;A30;34375215;0.92
2013;B;I;T;T;A30;30480621;0.89
2014;B;I;T;T;A30;26289233;0.99
2015;B;I;T;T;A30;23290764.46042;0.99
2016;B;I;T;T;A30;23833247.743532;1.02
2017;B;I;T;T;A30;25196295.97031;0.98
2018;B;I;T;T;A30;31683222.277381;0.99
2019;B;I;T;T;A30;58703551.405004;0.97
2020;B;I;T;T;A30;42435944.313153;0.88
2021;B;I;T;T;A30;37480349.315292;0.91
2022;B;I;T;T;A30;56630482.726106;0.92
