""
""
""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","Histo","rical Liabilit","ies to Foreign","ers by Type an","d Holder"
"","","","","","","","","","","","","","","","","","","","","[Po","sition at end","of period in m","illions of dol","lars.  Source:","Treasury Inte","rnational Capi","tal Reporting","System]"
""
""
"","","","","","","","","","","","","","","","","","","Held by","","","","","Total","","","","","","","","Memo:"
"","","","Held by","","","","","Held by","","","","","Held by","","","","","int'l &","Held by","Held by","Held by","Held by","Liab","Held by","Held by","","","","","","Total own","of which:","","","of which:","","","","","Neg CDs","","","","","","","","Custody"
"","","Liab","FOI:","Held by","Held by","Held by","Held by","forgn banks:","Held by","Held by","Held by","Held by","oth forgn:","Held by","Held by","Held by","Held by","reg orgs","int'l &","int'l &","int'l &","int'l &","payable","banks &","int'l &","","","","","","Liab","Liab to","Total","Other","Coll. By","Repurch","Repurch","Repurch","Own liab","& ST neg","","","","","Other","Own","Own liab","Liab"
"","Liab","payable","Total Liab","FOI:","FOI:","FOI:","FOI:","Total Liab","forgn banks:","forgn banks:","forgn banks:","forgn banks","Total Liab","oth forgn:","oth forgn:","oth forgn:","oth forgn:","Total Liab","reg orgs","reg orgs","reg orgs","reg orgs","in foreign","oth forgn","reg orgs","Total in","","Total in","Total in","Total in","payable","own foreign","deposits,","own","repurchase","agreemnts","agreemnts","agreemnts","in dollars","securities","","","of which:","of which:","Custody","Liab","in frgn cur","payable"
"","TOTAL","in","in dollars","Non-neg","ST Treas","Oth ST","Oth","in dollars","Non-neg","ST Treas","Oth St","Oth","in dollars","Non-neg","ST Treas","Oth ST","Oth","in dollars","Non-neg","ST Treas","Oth ST","Oth","currency","in foreign","in foreign","Canadian","Total in","UK pounds","Japanese","Swiss","in dollars","offices,","excl","Liab,","agreemnts,","held by","held by","held by","reported","in dollars","ST Treas","Oth ST","ST Agency","neg.","Liab","in foreign","reported","in foreign"
"","(=2+23)","dollars","(=sum(4-7))","deposits","securities","Neg secs","Liab","(=sum(9-12))","deposits","securities","Neg secs","Liab","(=sum(14-17))","deposits","securities","Neg secs","Liab","(=sum(19-22))","deposits","securities","Neg secs","Liab","(=24+25)","currency","currency","dollars","Euros","sterling","yen","Franc","(=33+34)","in dollars","neg CDs","dollars","(=36+37+38)","FOI","oth forgn","IROs","by IBFs","(=41+42)","securities","Neg secs","securities","CDs","in dollars","currency","by IBFs","currency"
"","[1]","[2]","[3]","[4]","[5]","[6]","[7]","[8]","[9]","[10]","[11]","[12]","[13]","[14]","[15]","[16]","[17]","[18]","[19]","[20]","[21]","[22]","[23]","[24]","[25]","[26]","[27]","[28]","[29]","[30]","[31]","[32]","[33]","[34]","[35]","[36]","[37]","[38]","[39]","[40]","[41]","[42]","[43]","[44]","[45]","[46]","[47]","[48]"
""
"2023-Feb","n.a.",7221019,816623,129529,256939,27354,402801,2716591,1250420,213478,233002,1019691,3603063,1030034,490178,1191638,891213,84742,35177,5190,8680,35695,"n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",4794560,2047369,2445160,2349400,1466595,390314,1042213,34068,415296,1256417,965785,290632,15092,100246,1170042,"n.a.","n.a.","n.a."
"2023-Jan","n.a.",7266215,805324,119555,249597,31882,404290,2818387,1310658,218078,273606,1016045,3554132,1016300,466056,1203834,867942,88372,35669,6510,9436,36757,"n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",4807216,2082676,2482182,2325034,1426229,388307,1002638,35284,440746,1238529,940241,298288,14187,103541,1220470,"n.a.","n.a.","n.a."
"2022-Dec",7457594,7073773,736180,91942,238714,26137,379387,2721105,1265099,224379,266364,965263,3560180,1006274,478440,1213146,862320,56308,30343,8455,7817,9693,383821,383668,153,41105,157677,47503,75268,"n.a.",4610321,1957284,2393658,2216663,1381809,370436,1002933,8440,448340,1254019,949988,304031,18124,103954,1209433,360570,65575,23251
"2022-Nov","n.a.",7243363,744120,100247,217164,29966,396743,2854517,1381415,208097,256324,1008681,3554589,1046344,472764,1203755,831726,90137,32338,7899,8789,41111,"n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",4838605,2104933,2560344,2278261,1421841,385662,996365,39814,446325,1210641,905924,304717,12781,102063,1194117,"n.a.","n.a.","n.a."
"2022-Oct","n.a.",7121630,726875,97209,203816,30450,395400,2724946,1275500,201281,265523,982642,3589783,1055845,489857,1199598,844483,80026,30579,6282,8988,34177,"n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",4715835,1974102,2459133,2256702,1422961,379526,1010637,32798,419098,1202633,901236,301397,13707,104416,1203162,"n.a.","n.a.","n.a."
"2022-Sep",7423016,7063359,700987,101220,220008,30696,349063,2687192,1274338,179169,250726,982959,3615043,1049845,513508,1192870,858820,60137,30399,6925,7997,14816,359657,359581,76,39842,132720,60356,61783,"n.a.",4661460,1969030,2455802,2205658,1360760,334389,1013126,13245,391860,1212931,919610,293321,14405,109927,1188968,339119,40842,20538
"2022-Aug","n.a.",7173276,689489,103704,230463,33063,322259,2760096,1297315,192147,245070,1025564,3661768,1088618,498263,1194517,880370,61923,31632,8200,9285,12806,"n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",4762268,2058417,2521269,2240999,1349147,307226,1030687,11234,396048,1232650,929073,303577,15785,110900,1178358,"n.a.","n.a.","n.a."
"2022-Jul","n.a.",7082462,689762,98729,234016,30448,326569,2721701,1289084,174678,266741,991198,3602343,1082106,465449,1169476,885312,68656,29540,9907,7459,21750,"n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",4724288,1998000,2499459,2224829,1362113,310433,1031274,20406,388806,1165374,884050,281324,15355,105594,1192800,"n.a.","n.a.","n.a."
"2022-Jun",7266599,6915846,667206,99357,238336,10705,318808,2638646,1250482,162625,249968,975571,3554277,1078294,480348,1137917,857718,55717,22775,14128,7959,10855,350753,350517,236,40613,134262,45873,64771,"n.a.",4613860,1890504,2450908,2162952,1335428,302518,1023137,9773,413637,1137720,895437,242283,11230,106532,1164266,328949,47868,21804
