date, country code, country name,us_bond_survey_pos,us_bond_adj_net_flow,us_bond_adj_val_chg,us_bond_monthly_gap,us_bond_est_pos,us_stk_survey_pos,us_stk_adj_net_flow,us_stk_adj_val_chg,us_stk_monthly_gap,us_stk_est_pos
03/31/1994, 10189, Austria,      1403,        ND,           ND,           ND,      1403,      1223,        ND,           ND,           ND,      1223
04/30/1994, 10189, Austria,        ND,         8,         1.22,         6.11,      1418,        ND,        14,       -15.16,        54.39,      1276
05/31/1994, 10189, Austria,        ND,       -49,       -20.36,         5.67,      1355,        ND,        35,       -34.00,        52.38,      1330
06/30/1994, 10189, Austria,        ND,         6,        52.51,         6.41,      1420,        ND,        17,        91.69,        66.11,      1504
07/31/1994, 10189, Austria,        ND,       -36,        10.90,         5.92,      1400,        ND,        14,       -35.17,        52.05,      1535
08/31/1994, 10189, Austria,        ND,       -88,       -12.00,         5.10,      1305,        ND,        14,        48.35,        67.03,      1665
09/30/1994, 10189, Austria,        ND,         4,         7.70,         5.48,      1323,        ND,        10,       -69.35,        40.88,      1646
10/31/1994, 10189, Austria,        ND,        63,        34.48,         6.58,      1427,        ND,         9,       -44.06,        42.44,      1654
11/30/1994, 10189, Austria,        ND,       -10,       -48.77,         3.90,      1372,        ND,        12,       -24.32,        45.43,      1687
12/31/1994, 10189, Austria,        ND,        34,        15.81,         6.04,      1428,        ND,         3,        36.21,        65.69,      1792
01/31/1995, 10189, Austria,        ND,        32,        42.78,         7.33,      1510,        ND,        25,       -49.55,        33.66,      1801
02/28/1995, 10189, Austria,        ND,        10,        49.66,         7.92,      1577,        ND,         4,        62.76,        79.79,      1947
03/31/1995, 10189, Austria,        ND,        14,       127.10,        12.00,      1730,        ND,        20,         7.47,        58.19,      2033
04/30/1995, 10189, Austria,        ND,        -8,        -7.32,         5.94,      1721,        ND,        44,        -8.71,        51.54,      2120
05/31/1995, 10189, Austria,        ND,        -1,        -2.06,         6.11,      1724,        ND,       -13,        76.57,        96.17,      2279
06/30/1995, 10189, Austria,        ND,        18,        10.95,         6.87,      1760,        ND,        28,        18.00,        68.70,      2394
07/31/1995, 10189, Austria,        ND,        29,        17.01,         7.36,      1813,        ND,        21,         7.73,        63.82,      2487
08/31/1995, 10189, Austria,        ND,        -5,       -92.50,         0.28,      1716,        ND,        -9,      -118.60,       -17.92,      2341
09/30/1995, 10189, Austria,        ND,        11,        61.50,        10.16,      1799,        ND,       -16,         5.40,        56.51,      2387
10/31/1995, 10189, Austria,        ND,       -14,        20.73,         7.53,      1813,        ND,        16,       -67.47,         3.83,      2339
11/30/1995, 10189, Austria,        ND,        -1,       -15.08,         4.90,      1802,        ND,        16,       -49.44,        13.15,      2319
12/31/1995, 10189, Austria,        ND,        19,        34.99,         8.80,      1865,        ND,        48,        32.32,        75.52,      2475
01/31/1996, 10189, Austria,        ND,        32,       -50.95,         1.98,      1848,        ND,        19,        80.18,       115.35,      2690
02/29/1996, 10189, Austria,        ND,        -4,       -11.37,         4.97,      1837,        ND,       -33,        -7.42,        46.54,      2696
03/31/1996, 10189, Austria,        ND,        -7,        -3.83,         5.47,      1832,        ND,        24,       -13.54,        40.84,      2747
04/30/1996, 10189, Austria,        ND,        -5,       -48.07,         1.31,      1780,        ND,         3,         8.12,        59.10,      2817
05/31/1996, 10189, Austria,        ND,       -27,        -2.15,         5.20,      1756,        ND,        -6,        79.55,       125.40,      3016
06/30/1996, 10189, Austria,        ND,        14,        -7.64,         4.63,      1767,        ND,       -17,       -96.71,       -40.64,      2862
07/31/1996, 10189, Austria,        ND,        52,        60.45,        11.70,      1891,        ND,       -16,       -33.24,        14.97,      2828
08/31/1996, 10189, Austria,        ND,        -1,         2.96,         5.93,      1899,        ND,        10,        11.72,        59.79,      2909
09/30/1996, 10189, Austria,        ND,        25,       -34.60,         1.98,      1892,        ND,         5,       -42.60,         1.28,      2873
10/31/1996, 10189, Austria,        ND,        -1,        20.72,         7.73,      1919,        ND,         2,         8.13,        54.72,      2938
11/30/1996, 10189, Austria,        ND,       -45,        -6.82,         4.60,      1872,        ND,        24,        31.35,        82.16,      3075
12/31/1996, 10189, Austria,        ND,         0,        -6.75,         4.49,      1870,        ND,       -22,        20.75,        70.16,      3144
01/31/1997, 10189, Austria,        ND,       -53,       -91.47,        -5.97,      1719,        ND,         1,       -59.77,       -25.85,      3059
02/28/1997, 10189, Austria,        ND,       661,       -35.70,         2.20,      2347,        ND,        10,         2.36,        47.24,      3119
03/31/1997, 10189, Austria,        ND,       -14,        -3.55,         6.21,      2335,        ND,        21,        13.99,        62.26,      3216
04/30/1997, 10189, Austria,        ND,        36,       -72.49,        -0.40,      2298,        ND,       -20,       -60.54,       -33.19,      3103
05/31/1997, 10189, Austria,        ND,       -12,        22.74,         8.47,      2318,        ND,        -1,        71.59,       136.42,      3310
06/30/1997, 10189, Austria,        ND,      -184,       -25.79,         3.11,      2111,        ND,         9,       -16.13,        21.83,      3324
07/31/1997, 10189, Austria,        ND,         4,       -96.36,        -5.34,      2013,        ND,       -27,        86.50,       161.08,      3545
08/31/1997, 10189, Austria,        ND,      -124,        21.88,         7.44,      1919,        ND,        36,       -92.01,       -86.52,      3402
09/30/1997, 10189, Austria,        ND,         0,        38.12,         9.76,      1966,        ND,        14,       103.40,       189.87,      3710
10/31/1997, 10189, Austria,        ND,        -3,        31.47,         9.05,      2004,        ND,         5,       -36.88,        -7.99,      3670
11/30/1997, 10189, Austria,        ND,        -6,       -38.51,        -0.14,      1959,        ND,        -2,      -103.17,      -107.69,      3457
12/31/1997, 10189, Austria,      1954,        16,       -23.04,         1.73,      1954,      3707,       -31,        96.84,       184.35,      3707
01/31/1998, 10189, Austria,        ND,         6,        -8.56,        48.02,      1999,        ND,       -28,       121.83,        -1.33,      3800
02/28/1998, 10189, Austria,        ND,         4,        21.76,        48.70,      2074,        ND,       -22,       266.87,        -1.49,      4043
03/31/1998, 10189, Austria,        ND,       -16,       -38.73,        44.48,      2064,        ND,       -55,       199.83,        -1.58,      4186
04/30/1998, 10189, Austria,        ND,         8,        49.41,        50.91,      2172,        ND,       -72,       354.27,        -1.89,      4467
05/31/1998, 10189, Austria,        ND,        15,        24.81,        50.16,      2262,        ND,       -55,       250.82,        -1.92,      4660
06/30/1998, 10189, Austria,        ND,        -4,       -17.61,        44.67,      2285,        ND,       -44,      -340.27,        -0.83,      4275
07/31/1998, 10189, Austria,        ND,       -13,        35.51,        51.94,      2359,        ND,       -41,        63.76,        -1.55,      4297
08/31/1998, 10189, Austria,        ND,        11,        41.22,        54.48,      2466,        ND,        -8,      -764.60,         0.73,      3525
09/30/1998, 10189, Austria,        ND,       -77,       141.01,        75.32,      2605,        ND,        37,      -377.18,         0.02,      3185
10/31/1998, 10189, Austria,        ND,       -40,         7.46,        48.98,      2622,        ND,        10,       389.27,        -2.35,      3581
11/30/1998, 10189, Austria,        ND,        -6,       -26.85,        39.54,      2629,        ND,         2,      -187.73,        -0.44,      3395
12/31/1998, 10189, Austria,        ND,       -28,        31.80,        54.32,      2687,        ND,       -36,        50.21,        -1.26,      3408
01/31/1999, 10189, Austria,        ND,       -39,       -41.15,        31.44,      2638,        ND,       -96,      -208.83,        -0.12,      3103
02/28/1999, 10189, Austria,        ND,        -8,      -103.48,         7.37,      2534,        ND,        -5,       168.95,        -1.77,      3265
03/31/1999, 10189, Austria,        ND,        26,       -25.33,        31.59,      2566,        ND,        15,       -13.56,        -0.93,      3266
04/30/1999, 10189, Austria,        ND,      -119,       -20.67,        29.49,      2456,        ND,        38,       135.84,        -1.73,      3438
05/31/1999, 10189, Austria,        ND,       -27,       -47.85,        15.52,      2397,        ND,       -31,      -436.25,         1.44,      2972
06/30/1999, 10189, Austria,        ND,       -50,       -58.92,         6.77,      2294,        ND,       -41,       129.65,        -1.65,      3059
07/31/1999, 10189, Austria,        ND,       -35,        30.62,        46.41,      2337,        ND,        -1,        13.83,        -0.99,      3071
08/31/1999, 10189, Austria,        ND,         2,       -33.25,        14.40,      2320,        ND,       -23,         0.64,        -0.89,      3048
09/30/1999, 10189, Austria,        ND,       -33,         3.08,        31.76,      2322,        ND,       -46,      -165.70,         0.29,      2836
10/31/1999, 10189, Austria,        ND,       -20,       -30.23,        12.14,      2283,        ND,       -13,       -38.63,        -0.52,      2784
11/30/1999, 10189, Austria,        ND,        -3,       -57.56,        -6.03,      2217,        ND,       -29,      -129.19,         0.21,      2626
12/31/1999, 10189, Austria,        ND,        17,       -20.01,        15.01,      2229,        ND,      -328,       184.01,        -2.12,      2480
01/31/2000, 10189, Austria,        ND,        22,       -46.60,        -2.29,      2202,        ND,       -86,      -222.56,         1.41,      2173
